연도,지역,"A/Bⅹ100,000 (건/10만명)",범죄발생총건수(A) (건),형법범 (건)
2014,강원,3805.0,58772.0,1462.3684210526317
2014,경기,3584.0,442902.0,11867.736842105263
2014,경남,3641.0,121986.0,3209.0526315789475
2014,경북,3536.0,95509.0,2315.842105263158
2014,광주,4823.0,71182.0,1870.157894736842
2014,대구,4150.0,103469.0,2577.842105263158
2014,대전,3279.0,50232.0,1633.2631578947369
2014,부산,4204.0,147945.0,4277.105263157895
2014,서울,3854.0,389353.0,12481.263157894737
2014,세종,2381.0,3717.0,95.10526315789474
2014,울산,3900.0,45490.0,1210.2631578947369
2014,인천,3578.0,103861.0,2712.0526315789475
2014,전남,3771.0,71866.0,1731.7368421052631
2014,전북,3350.0,62694.0,1630.0526315789473
2014,제주,5307.0,32233.0,889.7368421052631
2014,충남,3743.0,77187.0,2025.0
2014,충북,3511.0,55437.0,1496.1052631578948
2015,강원,4081.0,63243.0,1516.8947368421052
2015,경기,3777.0,472930.0,12601.052631578947
2015,경남,4308.0,144936.0,3770.7894736842104
2015,경북,3691.0,99762.0,2375.0526315789475
2015,광주,4560.0,67136.0,1747.6315789473683
2015,대구,4330.0,107728.0,2672.8947368421054
2015,대전,3437.0,52193.0,1694.8947368421052
2015,부산,4453.0,156472.0,4302.315789473684
2015,서울,3856.0,386488.0,12487.105263157895
2015,세종,1848.0,3897.0,115.57894736842105
2015,울산,2915.0,34213.0,781.0
2015,인천,3767.0,110230.0,2934.6315789473683
2015,전남,4174.0,79687.0,1827.9473684210527
2015,전북,3513.0,65686.0,1797.157894736842
2015,제주,5739.0,35835.0,911.2631578947369
2015,충남,3947.0,82007.0,2064.7368421052633
2015,충북,3680.0,58288.0,1544.3684210526317
2016,강원,4177.2,64781.0,1543.3684210526317
2016,경기,4113.3,523078.0,12317.368421052632
2016,경남,4246.8,143281.0,3562.2105263157896
2016,경북,3562.8,96211.0,2361.684210526316
2016,광주,4107.8,60352.0,1502.8947368421052
2016,대구,3771.8,93713.0,2389.4210526315787
2016,대전,3413.7,51696.0,1594.7368421052631
2016,부산,4117.1,144038.0,4050.2105263157896
2016,서울,3753.3,372730.0,11918.105263157895
2016,세종,1959.3,4762.0,138.57894736842104
2016,울산,2526.6,29620.0,731.0
2016,인천,3723.3,109580.0,3025.5263157894738
2016,전남,3926.3,74753.0,1709.6842105263158
2016,전북,3346.5,62406.0,1670.421052631579
2016,제주,5829.5,37402.0,937.5263157894736
2016,충남,3726.2,78129.0,1969.6315789473683
2016,충북,3880.2,61758.0,1508.6315789473683
2017,강원,3799.7,58900.0,1488.578947368421
